child_lei,child_name,child_country,parent_lei,parent_name
549300JI2FC7PGJHP860,DWS Zuerich Invest Aktien Schweiz,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900L30NS8FOKXCQ03,Deutsche International Trust Corporation (Mauritius) Limited,MU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
25940012WVMVS3G5WP26,DC POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI,PL,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300GF3543BG7KSO29,DEAM CAPITAL PROTECT 2039,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900R1CDB2JWCHM252,DWS CH AG,CH,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300O2UN9JLME31F08,UNICREDIT BANKA SLOVENIJA d.d.,SI,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900GOHDG5JKIJXT78,DWS Investments Japan Limited,JP,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900UKTXP0UD6IGX72,Consumo Srl In Liquidazione,IT,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5299005MQKIBQ14EIJ38,DWS Management GmbH,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
213800HQ3SEC4XDRMW78,ICE CREEK POOL NO. 2 DESIGNATED ACTIVITY COMPANY,IE,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900NS3GMIJVLSH116,Deutsche Global Markets Limited,IL,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300G0GSODGZH94Z69,VISION DIRECT EUROPE LTD,GB,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
635400KXBJFOZCXLPP05,MEDIOLANUM FLESSIBILE SVILUPPO ITALIA,IT,7LVZJ6XRIE7VNZ4UBX81,BANCA MEDIOLANUM SPA
529900KMVAGFZ68CEJ78,UniCredit Zega Leasing GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900YKQVV2F80DI747,SECA-Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
335800C1KV5TPG2GEX70,HINDUSTAN COCA-COLA HOLDINGS PRIVATE LIMITED,IN,UWJKFUJFZ02DKWI3RY53,THE COCA-COLA COMPANY
529900EYK1T9D8JMD587,Bank Austria Leasing Ikarus Immobilien Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300IP7H46C3FB8404,ATLANTIC INDUSTRIES,KY,UWJKFUJFZ02DKWI3RY53,THE COCA-COLA COMPANY
254900I5KDSB46XL7O09,ESG Blue Economy,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900SETJ7JMNI5AD78,Bank Austria Finanzservice GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
635400VPPM8R1SOESU52,DWS ALTERNATIVES GLOBAL LIMITED,GB,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
222100D7KSQ22ZVMKM20,GAP MANCO,LU,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
52990079PPW7G6DP9O83,DEUTSCHE KNOWLEDGE SERVICES PTE. LTD.,SG,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300QKDHYRRQH2MB86,APPLE (UK) LIMITED,GB,HWUPKR0MPOU8FGXBT394,Apple Inc.
529900BQ4I6Y9MVYB541,CA-Leasing Senioren Park GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900G4O4VLOG0B5168,Deutsche Holdings (Luxembourg) S.à r.l.,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300ZHFZ4CSK7VS460,PRIVREDNA BANKA ZAGREB - DIONIČKO DRUŠTVO,HR,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
529900FZ18K4CHUQAV85,PRIVATE EQUITY GLOBAL SELECT COMPANY V S.à r.l.,LU,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900ETVH54K2OIRO19,RREEF America L.L.C.,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
5299009JK8LPHBPN5394,Z Leasing Alfa Immobilien Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300Z8PET0HZ1GOT63,FIDEURAM RISPARMIO ATTIVO,IT,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
529900Q4GO8QFCSYWC20,BA GebäudevermietungsgmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
894500NNGR0CC5PBBG65,Bella Tower ApS,DK,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900XL7PBQEL6AW973,DEUTSCHE BANK CONTINGENT CAPITAL TRUST III,US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900TUNVSQFZ481607,Lufthansa CityLine GmbH,DE,529900PH63HYJ86ASW55,Deutsche Lufthansa Aktiengesellschaft
549300PQZEXBBQ5SLU78,UNILEVER INDIA LIMITED,IN,549300MKFYEKVRWML317,UNILEVER PLC
529900ALO5QOEB2LEB63,DB Omega Ltd.,KY,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
8156008BFE3F29A7B591,MEDIOLANUM VITA SPA,IT,7LVZJ6XRIE7VNZ4UBX81,BANCA MEDIOLANUM SPA
529900H9AT7W54KGHF30,LUFTHANSA TECHNIK LANDING GEAR SERVICES UK LIMITED,GB,529900PH63HYJ86ASW55,Deutsche Lufthansa Aktiengesellschaft
213800CBOERFQH934Q10,INTESA SANPAOLO BRASIL S.A. - BANCO MULTIPLO,BR,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
529900V89SIJN7DOX349,Perikles 20092 Vermögensverwaltung GmbH,DE,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900MJYYIRXZ9YCT59,Elizabethan Management Limited,KY,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
3157008BMI50FMDD1E91,ALLIB Leasing s.r.o.,CZ,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
5493006DBSUPUBTAB556,FAI MERCATI PRIVATI SOSTENIBILI,IT,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
529900UOHCIHB2SSXV67,DB RMS Leasing (Cayman) L.P.,KY,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
25490072EC3VZGVO9626,DWS Alternatives (IE) ICAV - DWS ABS Credit Select Fund,IE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900S1RR1VXCC0X459,"PGI SECURE BLOCKER I, LLC",US,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900UEE0B99ZWD8Z43,OPPENHEIM Flottenfonds V GmbH & Co. KG,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300FDMSUHKT8PXB93,EKATERRA SERVICE INDIA PRIVATE LIMITED,IN,549300MKFYEKVRWML317,UNILEVER PLC
529900LZC0DRQ7BS1A85,INTRO Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900BVN6NPN8R4A847,DB AOTEAROA INVESTMENTS LIMITED,KY,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900YWYV1BB5FUZK64,DB INVESTMENT PARTNERS LIMITED,GB,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900FYAQ4PVMVXVF84,Deutsche Aeolia Power Production Société Anonyme,GR,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900IDIVPXHQ72XG19,DWS INVESTMENTS UK LIMITED,GB,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
213800EL46ESVT6G9247,CA-ZETA INGATLANHASZNOSÍTÓ KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG,HU,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900K3CBIIFX4H8G15,Z Leasing NEREIDE Immobilien Leasing Gesellschaft m.b.H.,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900Z8F1DQ2PF5GJ97,Kunsthaus Leasing GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
549300TCEMHQ8ZPOQN53,"TRANSITIONS OPTICAL PHILIPPINES, INC.",PH,549300M3VH1A3ER1TB49,ESSILORLUXOTTICA
529900YBCHPCBU0CBV03,DWS INVESTMENTS SINGAPORE LIMITED,SG,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300HIODNR3LRHFF34,HVB CAPITAL LLC II,US,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900ANJHT613JW8B30,CALG Immobilien Leasing GmbH,AT,549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI"
529900R54FIEI2HXHH86,PERUDA LEASING LIMITED,GB,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
549300XXMXUO9TJN5940,Lux Gest Asset Management S.A.,LU,2W8N8UU78PMDQKZENC08,INTESA SANPAOLO SPA
2138009I1PA8O8COMX38,NATURE DELIVERED LIMITED,GB,549300MKFYEKVRWML317,UNILEVER PLC
529900M56WPQOQL4H945,DB Industrial Holdings GmbH,DE,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
529900MAE1EMLUE01896,"UKE, s.r.o.",SK,7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT
